epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,5009.06,2.14961,0.12623,0.76651,0.83485,0.34365,0.39167,0.20167,2.80354,0.12961,0.59246,0.000885268,0.000885268,0.000885268
24,5368.58,2.10201,0.12207,0.76342,0.79471,0.35323,0.35471,0.18776,2.724,0.1321,0.58356,0.000875068,0.000875068,0.000875068
25,5566.38,2.09972,0.12219,0.76285,0.8304,0.34707,0.46306,0.24032,2.68478,0.12506,0.59097,0.000864498,0.000864498,0.000864498
26,5812.87,2.10489,0.12251,0.75612,0.77804,0.36065,0.33841,0.1657,2.75202,0.13374,0.57577,0.000853568,0.000853568,0.000853568
27,6111.91,2.05883,0.12172,0.76004,0.85046,0.35502,0.43206,0.22211,2.72498,0.13036,0.58882,0.000842289,0.000842289,0.000842289
28,6310.84,2.0511,0.12233,0.76593,0.90096,0.35337,0.4711,0.23627,2.70486,0.12879,0.57667,0.000830673,0.000830673,0.000830673
29,6453.63,2.05205,0.12092,0.75533,0.83107,0.33978,0.39474,0.19985,2.69753,0.12879,0.58236,0.00081873,0.00081873,0.00081873
30,6676.88,2.11514,0.12234,0.75833,0.82107,0.35277,0.45879,0.22966,2.68757,0.12782,0.58498,0.000806473,0.000806473,0.000806473
31,7024.27,2.11235,0.12342,0.76195,0.87406,0.34084,0.48751,0.23899,2.67166,0.12211,0.58651,0.000793913,0.000793913,0.000793913
32,7226.7,2.071,0.12117,0.75895,0.84891,0.35277,0.47404,0.23692,2.59907,0.12515,0.58041,0.000781064,0.000781064,0.000781064
33,7539.96,2.06591,0.12113,0.75688,0.89562,0.35259,0.4352,0.21373,2.64774,0.12851,0.58179,0.000767937,0.000767937,0.000767937
34,7703.03,2.02648,0.12003,0.75616,0.85056,0.34182,0.42172,0.21625,2.66698,0.13129,0.58342,0.000754545,0.000754545,0.000754545
35,7888.31,2.05797,0.12165,0.75335,0.80261,0.35714,0.3964,0.20293,2.60068,0.12792,0.5909,0.000740903,0.000740903,0.000740903
36,8011.38,2.0031,0.12002,0.7568,0.89564,0.35714,0.47837,0.2257,2.63162,0.12719,0.58117,0.000727023,0.000727023,0.000727023
37,8177.13,2.03292,0.12042,0.752,0.8449,0.3688,0.47269,0.24357,2.67698,0.1266,0.57801,0.000712918,0.000712918,0.000712918
38,8466.71,2.04917,0.11929,0.75283,0.30852,0.64179,0.4753,0.20866,2.73567,0.12753,0.59088,0.000698604,0.000698604,0.000698604
39,8801.81,2.02399,0.12011,0.75939,0.85903,0.35807,0.43451,0.21793,2.67975,0.1265,0.58366,0.000684094,0.000684094,0.000684094
40,8968.93,2.03581,0.12013,0.75801,0.83928,0.3469,0.40391,0.20616,2.82395,0.13128,0.57413,0.000669402,0.000669402,0.000669402
41,9267.08,2.04349,0.11962,0.74941,0.95277,0.3379,0.45889,0.23499,2.67797,0.12316,0.578,0.000654543,0.000654543,0.000654543
42,9586.16,2.07643,0.11986,0.7503,0.84318,0.35235,0.5196,0.23516,2.70712,0.1249,0.57473,0.000639532,0.000639532,0.000639532
43,9734.55,2.0076,0.11841,0.75082,0.35096,0.6539,0.52347,0.24505,2.73552,0.12599,0.5836,0.000624383,0.000624383,0.000624383
44,9939.32,2.01262,0.11812,0.7494,0.79905,0.36364,0.43448,0.21103,2.67742,0.12753,0.58396,0.000609111,0.000609111,0.000609111
45,10174.5,2.03473,0.11867,0.75152,0.8811,0.3583,0.41201,0.20769,2.69003,0.12199,0.58222,0.000593731,0.000593731,0.000593731
46,10467.2,2.04516,0.11979,0.75357,0.84926,0.34687,0.44187,0.23074,2.63094,0.12078,0.58217,0.000578259,0.000578259,0.000578259
47,10772,2.04554,0.11974,0.75594,0.27026,0.61302,0.45217,0.23264,2.66737,0.12514,0.57869,0.00056271,0.00056271,0.00056271
48,10985.1,2.00552,0.11832,0.75606,0.34785,0.68917,0.56767,0.2616,2.7753,0.12668,0.57847,0.000547099,0.000547099,0.000547099
49,11218.5,2.02678,0.11824,0.75585,0.85737,0.34111,0.41003,0.21714,2.70939,0.1276,0.57693,0.000531442,0.000531442,0.000531442
50,11416,2.02735,0.11888,0.75279,0.87277,0.3574,0.49674,0.241,2.66526,0.123,0.57642,0.000515754,0.000515754,0.000515754
51,11575.9,2.01942,0.11809,0.74996,0.29109,0.69734,0.52236,0.26475,2.67904,0.12336,0.57445,0.00050005,0.00050005,0.00050005
52,11795.6,2.00815,0.11761,0.74957,0.90472,0.35171,0.42462,0.22485,2.67386,0.12337,0.57413,0.000484346,0.000484346,0.000484346
53,12167.8,2.02716,0.11831,0.74863,0.91493,0.35194,0.56283,0.27717,2.6986,0.12264,0.57478,0.000468658,0.000468658,0.000468658
54,12320.2,1.9888,0.11769,0.74643,0.83867,0.35257,0.46305,0.22353,2.65187,0.1232,0.58095,0.000453001,0.000453001,0.000453001
55,12661,1.98348,0.11712,0.74744,0.8528,0.36335,0.47825,0.24645,2.66036,0.12449,0.57825,0.00043739,0.00043739,0.00043739
56,12849.8,1.99547,0.11796,0.74288,0.31515,0.63061,0.55308,0.2635,2.70292,0.12451,0.58571,0.000421841,0.000421841,0.000421841
57,13100.5,1.97866,0.11743,0.74735,0.83028,0.34164,0.46496,0.23045,2.67299,0.12713,0.57079,0.000406369,0.000406369,0.000406369
58,13324.2,2.00243,0.11756,0.74363,0.84899,0.34759,0.52306,0.25102,2.66562,0.12562,0.57172,0.000390989,0.000390989,0.000390989
59,13582.6,2.02354,0.11727,0.73832,0.85891,0.36427,0.50612,0.25307,2.62078,0.12304,0.5709,0.000375717,0.000375717,0.000375717
60,13733.9,1.97795,0.1173,0.74737,0.85122,0.35019,0.5116,0.24622,2.68932,0.12519,0.57047,0.000360568,0.000360568,0.000360568
61,13913.5,1.95652,0.11676,0.75069,0.34345,0.62929,0.55953,0.26347,2.66217,0.12296,0.57421,0.000345557,0.000345557,0.000345557
62,14139,1.9972,0.11723,0.74772,0.87966,0.34363,0.45775,0.23032,2.68851,0.12467,0.57315,0.000330698,0.000330698,0.000330698
63,14345.9,1.98706,0.11711,0.74707,0.90306,0.33965,0.55876,0.27486,2.64488,0.12372,0.57522,0.000316006,0.000316006,0.000316006
64,14554.1,1.98099,0.11731,0.75162,0.872,0.36492,0.55166,0.27381,2.67026,0.12133,0.57709,0.000301496,0.000301496,0.000301496
65,14933.1,1.98679,0.11604,0.74828,0.36536,0.64276,0.56477,0.27784,2.64999,0.12192,0.5741,0.000287182,0.000287182,0.000287182
66,15156.2,1.97578,0.1165,0.74222,0.94536,0.35217,0.54204,0.27008,2.67286,0.12397,0.57831,0.000273077,0.000273077,0.000273077
67,15373.5,1.98263,0.11673,0.74396,0.88996,0.35449,0.4959,0.24387,2.67792,0.12287,0.57021,0.000259197,0.000259197,0.000259197
68,15616.2,1.99672,0.1172,0.74839,0.87705,0.36125,0.50079,0.2442,2.67019,0.1219,0.57571,0.000245555,0.000245555,0.000245555
69,15818.6,1.97672,0.11684,0.74762,0.9133,0.358,0.49845,0.24947,2.67038,0.1252,0.56941,0.000232163,0.000232163,0.000232163
70,16019,1.9666,0.11655,0.74682,0.86494,0.35191,0.51323,0.25402,2.61497,0.12225,0.57216,0.000219036,0.000219036,0.000219036
71,16231.4,1.96073,0.11586,0.74661,0.28421,0.70443,0.54759,0.25993,2.66756,0.12165,0.57277,0.000206187,0.000206187,0.000206187
72,16505.2,1.95385,0.11531,0.74191,0.34044,0.62955,0.5564,0.26353,2.66995,0.12297,0.5745,0.000193627,0.000193627,0.000193627
73,16717.3,1.94048,0.11529,0.74874,0.28491,0.70078,0.51791,0.24941,2.66088,0.12185,0.57558,0.00018137,0.00018137,0.00018137
74,16843.2,1.94507,0.11578,0.74329,0.33946,0.67407,0.56974,0.26836,2.6005,0.12188,0.57098,0.000169427,0.000169427,0.000169427
75,17124.8,1.99048,0.11669,0.74028,0.37976,0.69973,0.64205,0.29667,2.66607,0.12102,0.57698,0.000157811,0.000157811,0.000157811
76,17371.2,1.9446,0.11601,0.74753,0.36794,0.65931,0.56832,0.27098,2.65723,0.1234,0.57309,0.000146532,0.000146532,0.000146532
77,17672.6,1.95298,0.1151,0.74082,0.90502,0.35025,0.5873,0.2841,2.64539,0.11931,0.56956,0.000135602,0.000135602,0.000135602
78,17995.8,1.94967,0.11547,0.74886,0.32017,0.71613,0.61379,0.2858,2.6195,0.12204,0.57395,0.000125032,0.000125032,0.000125032
79,18158.1,1.92635,0.1148,0.74265,0.30932,0.7114,0.60987,0.29269,2.64794,0.12256,0.57375,0.000114832,0.000114832,0.000114832
80,18326.4,1.9507,0.11608,0.74852,0.31413,0.70913,0.60459,0.29602,2.64549,0.12202,0.57045,0.000105012,0.000105012,0.000105012
81,18529.5,1.9444,0.11517,0.74553,0.89444,0.36118,0.54002,0.26595,2.62014,0.12167,0.57158,9.5582e-05,9.5582e-05,9.5582e-05
82,18739.4,1.96233,0.11561,0.73854,0.87637,0.36755,0.56213,0.26937,2.64813,0.12226,0.57068,8.65511e-05,8.65511e-05,8.65511e-05
83,18953.7,1.92051,0.11499,0.74446,0.31445,0.68875,0.59035,0.29148,2.64652,0.12126,0.57052,7.79283e-05,7.79283e-05,7.79283e-05
84,19123.5,1.93638,0.11522,0.74202,0.32549,0.69588,0.59122,0.28981,2.64997,0.12159,0.57279,6.9722e-05,6.9722e-05,6.9722e-05
85,19375.1,1.93978,0.11489,0.73722,0.35247,0.67463,0.60462,0.29427,2.65312,0.12171,0.57243,6.19405e-05,6.19405e-05,6.19405e-05
86,19537.8,1.89995,0.11381,0.74627,0.33453,0.67976,0.59803,0.29018,2.63314,0.12144,0.57457,5.45913e-05,5.45913e-05,5.45913e-05
87,19729.8,1.95505,0.11557,0.74067,0.34926,0.65588,0.60563,0.28906,2.6292,0.12125,0.57233,4.76817e-05,4.76817e-05,4.76817e-05
88,20041.8,1.96419,0.1156,0.73897,0.33658,0.69953,0.62757,0.29823,2.63703,0.12101,0.57273,4.12186e-05,4.12186e-05,4.12186e-05
89,20206.8,1.89366,0.11429,0.74321,0.32385,0.71481,0.61644,0.29796,2.62905,0.12087,0.57133,3.52082e-05,3.52082e-05,3.52082e-05
90,20479,1.95323,0.11509,0.73867,0.34898,0.68934,0.61819,0.29197,2.64547,0.12159,0.57218,2.96567e-05,2.96567e-05,2.96567e-05
91,20796.1,2.65163,0.11926,0.59327,0.88066,0.3696,0.51319,0.25605,2.64801,0.12176,0.57302,2.45693e-05,2.45693e-05,2.45693e-05
92,21002.8,2.61307,0.11793,0.59395,0.88787,0.36927,0.50027,0.2502,2.65877,0.1217,0.57293,1.99512e-05,1.99512e-05,1.99512e-05
93,21125.7,2.58407,0.1178,0.59525,0.902,0.3694,0.51592,0.25703,2.64131,0.12149,0.57295,1.58068e-05,1.58068e-05,1.58068e-05
94,21514.1,2.66808,0.11915,0.59028,0.91185,0.3698,0.51414,0.25749,2.63402,0.1215,0.57142,1.21404e-05,1.21404e-05,1.21404e-05
95,21692.1,2.58579,0.11757,0.59442,0.90484,0.36801,0.50697,0.25655,2.62883,0.12136,0.57177,8.95549e-06,8.95549e-06,8.95549e-06
96,21835.2,2.60761,0.1181,0.5952,0.91098,0.36649,0.51287,0.25729,2.63006,0.1211,0.57158,6.25521e-06,6.25521e-06,6.25521e-06
97,22069.1,2.58497,0.11754,0.5955,0.91332,0.36483,0.50098,0.25372,2.63253,0.12109,0.57193,4.04226e-06,4.04226e-06,4.04226e-06
98,22195.4,2.60078,0.11802,0.59394,0.90875,0.36506,0.50358,0.25368,2.6335,0.121,0.57189,2.3188e-06,2.3188e-06,2.3188e-06
99,22346.9,2.58474,0.11732,0.59382,0.90494,0.36602,0.50455,0.25484,2.63573,0.12107,0.57213,1.08654e-06,1.08654e-06,1.08654e-06
100,22514.4,2.58543,0.11756,0.59331,0.90491,0.36728,0.5028,0.25388,2.63477,0.12101,0.57188,3.46695e-07,3.46695e-07,3.46695e-07
