epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1230.47,2.79864,0.12467,0.62957,0.84729,0.34117,0.36709,0.18964,2.70241,0.13113,0.5788,0.000639532,0.000639532,0.000639532
43,1257.37,2.74366,0.1246,0.63353,0.8593,0.3309,0.37497,0.19817,2.71701,0.13301,0.57965,0.000624383,0.000624383,0.000624383
44,1283.35,2.7049,0.12256,0.63789,0.85121,0.3425,0.36508,0.19209,2.72509,0.1303,0.58537,0.000609111,0.000609111,0.000609111
45,1310.27,2.76811,0.12354,0.62824,0.81752,0.35827,0.34619,0.18946,2.76378,0.13249,0.58215,0.000593731,0.000593731,0.000593731
46,1338.24,2.77922,0.12358,0.62411,0.8654,0.34015,0.37438,0.19886,2.70398,0.13144,0.58206,0.000578259,0.000578259,0.000578259
47,1366.27,2.84065,0.12538,0.62077,0.82462,0.34681,0.34708,0.19014,2.74558,0.12682,0.57908,0.00056271,0.00056271,0.00056271
48,1393.41,2.74043,0.12278,0.62948,0.87606,0.31381,0.36526,0.19231,2.7443,0.13198,0.57993,0.000547099,0.000547099,0.000547099
49,1420.21,2.70221,0.12387,0.63139,0.80777,0.34891,0.34946,0.18444,2.75818,0.13064,0.5756,0.000531442,0.000531442,0.000531442
50,1446.9,2.7454,0.12212,0.62144,0.85314,0.35834,0.36852,0.19662,2.75683,0.1284,0.57551,0.000515754,0.000515754,0.000515754
51,1473.38,2.69929,0.12186,0.6263,0.8545,0.3295,0.35943,0.19448,2.72921,0.13299,0.57568,0.00050005,0.00050005,0.00050005
52,1500.73,2.77136,0.1219,0.61997,0.86153,0.33455,0.36353,0.1905,2.67494,0.12891,0.57957,0.000484346,0.000484346,0.000484346
53,1528.15,2.74398,0.1222,0.62706,0.88003,0.32587,0.37058,0.20131,2.72847,0.13101,0.57667,0.000468658,0.000468658,0.000468658
54,1555.27,2.71643,0.12176,0.62058,0.91333,0.33937,0.37995,0.20782,2.72869,0.1272,0.57269,0.000453001,0.000453001,0.000453001
55,1582.28,2.74697,0.12269,0.62367,0.91766,0.33406,0.37294,0.20265,2.77977,0.13042,0.58025,0.00043739,0.00043739,0.00043739
56,1609.07,2.71939,0.12185,0.62251,0.91234,0.31706,0.3678,0.19401,2.83912,0.13589,0.57698,0.000421841,0.000421841,0.000421841
57,1634.94,2.66144,0.12075,0.62329,0.83581,0.35317,0.35777,0.19456,2.71421,0.1318,0.57547,0.000406369,0.000406369,0.000406369
58,1662.54,2.73877,0.12208,0.62004,0.92822,0.32633,0.37872,0.20112,2.69963,0.12953,0.58084,0.000390989,0.000390989,0.000390989
59,1690.2,2.76015,0.12215,0.61616,0.86121,0.33256,0.37477,0.19619,2.73886,0.12862,0.58045,0.000375717,0.000375717,0.000375717
60,1717.08,2.70405,0.12133,0.62122,0.86909,0.32872,0.36518,0.1899,2.67679,0.13021,0.57925,0.000360568,0.000360568,0.000360568
61,1744.42,2.69213,0.12113,0.62173,0.9022,0.33389,0.38057,0.20725,2.76868,0.1309,0.57349,0.000345557,0.000345557,0.000345557
